cluster	reference	dices_speech_id	speaker	addressee	text	notes	evaluation (against exp6)
018	Hom. Il.11.187-194	293	Zeus	Iris	ὄφρʼ ἂν μέν κεν ὁρᾷ Ἀγαμέμνονα ποιμένα λαῶν θύνοντʼ ἐν προμάχοισιν ἐναίροντα στίχας ἀνδρῶν, τόφρʼ ἀναχωρείτω, τὸν δʼ ἄλλον λαὸν ἀνώχθω μάρνασθαι δηΐοισι κατὰ κρατερὴν ὑσμίνην. αὐτὰρ ἐπεί κʼ ἢ δουρὶ τυπεὶς ἢ βλήμενος ἰῷ εἰς ἵππους ἅλεται, τότε οἱ κράτος ἐγγυαλίξω κτείνειν εἰς ὅ κε νῆας ἐϋσσέλμους ἀφίκηται δύῃ τʼ ἠέλιος καὶ ἐπὶ κνέφας ἱερὸν ἔλθῃ.		Matched predicted cluster 302 (spurious-match)
018	Hom. Il. 11.202-209	294	Iris	Hector	ὄφρʼ ἂν μέν κεν ὁρᾷς Ἀγαμέμνονα ποιμένα λαῶν θύνοντʼ ἐν προμάχοισιν, ἐναίροντα στίχας ἀνδρῶν, τόφρʼ ὑπόεικε μάχης, τὸν δʼ ἄλλον λαὸν ἄνωχθι μάρνασθαι δηΐοισι κατὰ κρατερὴν ὑσμίνην. αὐτὰρ ἐπεί κʼ ἢ δουρὶ τυπεὶς ἢ βλήμενος ἰῷ εἰς ἵππους ἅλεται, τότε τοι κράτος ἐγγυαλίξει κτείνειν, εἰς ὅ κε νῆας ἐϋσσέλμους ἀφίκηαι δύῃ τʼ ἠέλιος καὶ ἐπὶ κνέφας ἱερὸν ἔλθῃ.		Matched predicted cluster 302 (spurious-match)
019	Hom. Il.11.658-662	314	Nestor	Patroclus	πένθεος, ὅσσον ὄρωρε κατὰ στρατόν· οἳ γὰρ ἄριστοι ἐν νηυσὶν κέαται βεβλημένοι οὐτάμενοί τε. βέβληται μὲν ὃ Τυδεΐδης κρατερὸς Διομήδης, οὔτασται δʼ Ὀδυσεὺς δουρὶ κλυτὸς ἠδʼ Ἀγαμέμνων· βέβληται δὲ καὶ Εὐρύπυλος κατὰ μηρὸν ὀϊστῷ· 		Matched predicted cluster 7 (spurious-match)
019	Hom. Il.16.23-27	421	Patroclus	Achilles	οἳ μὲν γὰρ δὴ πάντες, ὅσοι πάρος ἦσαν ἄριστοι, ἐν νηυσὶν κέαται βεβλημένοι οὐτάμενοί τε. βέβληται μὲν ὃ Τυδεΐδης κρατερὸς Διομήδης, οὔτασται δʼ Ὀδυσεὺς δουρικλυτὸς ἠδʼ Ἀγαμέμνων, βέβληται δὲ καὶ Εὐρύπυλος κατὰ μηρὸν ὀϊστῷ.		Matched predicted cluster 7 (spurious-match)
020	Hom. Il. 11.794-803	314	Nestor	Patroclus	εἰ δέ τινα φρεσὶν ᾗσι θεοπροπίην ἀλεείνει καί τινά οἱ πὰρ Ζηνὸς ἐπέφραδε πότνια μήτηρ, ἀλλὰ σέ περ προέτω, ἅμα δʼ ἄλλος λαὸς ἑπέσθω Μυρμιδόνων, αἴ κέν τι φόως Δαναοῖσι γένηαι· καί τοι τεύχεα καλὰ δότω πόλεμον δὲ φέρεσθαι, αἴ κέ σε τῷ εἴσκοντες ἀπόσχωνται πολέμοιο Τρῶες, ἀναπνεύσωσι δʼ ἀρήϊοι υἷες Ἀχαιῶν τειρόμενοι· ὀλίγη δέ τʼ ἀνάπνευσις πολέμοιο. ῥεῖα δέ κʼ ἀκμῆτες κεκμηότας ἄνδρας ἀϋτῇ ὤσαισθε προτὶ ἄστυ νεῶν ἄπο καὶ κλισιάων.		Matched predicted cluster 7 (spurious-match)
020	Hom. Il. 16.36-45	421	Patroclus	Achilles	εἰ δέ τινα φρεσὶ σῇσι θεοπροπίην ἀλεείνεις καί τινά τοι πὰρ Ζηνὸς ἐπέφραδε πότνια μήτηρ, ἀλλʼ ἐμέ περ πρόες ὦχʼ, ἃμα δʼ ἄλλον λαὸν ὄπασσον Μυρμιδόνων, ἤν πού τι φόως Δαναοῖσι γένωμαι. δὸς δέ μοι ὤμοιιν τὰ σὰ τεύχεα θωρηχθῆναι, αἴ κʼ ἐμὲ σοὶ ἴσκοντες ἀπόσχωνται πολέμοιο Τρῶες, ἀναπνεύσωσι δʼ Ἀρήϊοι υἷες Ἀχαιῶν τειρόμενοι· ὀλίγη δέ τʼ ἀνάπνευσις πολέμοιο. ῥεῖα δέ κʼ ἀκμῆτες κεκμηότας ἄνδρας ἀϋτῇ ὤσαιμεν προτὶ ἄστυ νεῶν ἄπο καὶ κλισιάων.		Matched predicted cluster 7 (spurious-match)
021	Hom. Il. 12.344-350	326	Menestheus	Thootes	ἀμφοτέρω μὲν μᾶλλον· ὃ γάρ κʼ ὄχʼ ἄριστον ἁπάντων εἴη, ἐπεὶ τάχα τῇδε τετεύξεται αἰπὺς ὄλεθρος. ὧδε γὰρ ἔβρισαν Λυκίων ἀγοί, οἳ τὸ πάρος περ ζαχρηεῖς τελέθουσι κατὰ κρατερὰς ὑσμίνας. εἰ δέ σφιν καὶ κεῖθι πόνος καὶ νεῖκος ὄρωρεν, ἀλλά περ οἶος ἴτω Τελαμώνιος ἄλκιμος Αἴας, καί οἱ Τεῦκρος ἅμα σπέσθω τόξων ἐῢ εἰδώς.		Matched predicted cluster 344 (exact-match)
021	Hom. Il. 12.357-363	327	Thootes	Ajaxes	ἀμφοτέρω μὲν μᾶλλον· ὃ γάρ κʼ ὄχʼ ἄριστον ἁπάντων εἴη, ἐπεὶ τάχα κεῖθι τετεύξεται αἰπὺς ὄλεθρος· ὧδε γὰρ ἔβρισαν Λυκίων ἀγοί, οἳ τὸ πάρος περ ζαχρηεῖς τελέθουσι κατὰ κρατερὰς ὑσμίνας. εἰ δὲ καὶ ἐνθάδε περ πόλεμος καὶ νεῖκος ὄρωρεν, ἀλλά περ οἶος ἴτω Τελαμώνιος ἄλκιμος Αἴας, καί οἱ Τεῦκρος ἅμα σπέσθω τόξων ἐῢ εἰδώς.		Matched predicted cluster 344 (exact-match)
022	Hom. Il. 15.160-167	395	Zeus	Iris	παυσάμενόν μιν ἄνωχθι μάχης ἠδὲ πτολέμοιο ἔρχεσθαι μετὰ φῦλα θεῶν ἢ εἰς ἅλα δῖαν. εἰ δέ μοι οὐκ ἐπέεσσʼ ἐπιπείσεται, ἀλλʼ ἀλογήσει, φραζέσθω δὴ ἔπειτα κατὰ φρένα καὶ κατὰ θυμὸν μή μʼ οὐδὲ κρατερός περ ἐὼν ἐπιόντα ταλάσσῃ μεῖναι, ἐπεί εὑ φημὶ βίῃ πολὺ φέρτερος εἶναι καὶ γενεῇ πρότερος· τοῦ δʼ οὐκ ὄθεται φίλον ἦτορ ἶσον ἐμοὶ φάσθαι, τόν τε στυγέουσι καὶ ἄλλοι.		Matched predicted cluster 568 (exact-match)
022	Hom. Il. 15.176-183	396	Iris	Poseidon	παυσάμενόν σʼ ἐκέλευσε μάχης ἠδὲ πτολέμοιο ἔρχεσθαι μετὰ φῦλα θεῶν ἢ εἰς ἅλα δῖαν. εἰ δέ οἱ οὐκ ἐπέεσσʼ ἐπιπείσεαι, ἀλλʼ ἀλογήσεις, ἠπείλει καὶ κεῖνος ἐναντίβιον πολεμίξων ἐνθάδʼ ἐλεύσεσθαι· σὲ δʼ ὑπεξαλέασθαι ἄνωγε χεῖρας, ἐπεὶ σέο φησὶ βίῃ πολὺ φέρτερος εἶναι καὶ γενεῇ πρότερος· σὸν δʼ οὐκ ὄθεται φίλον ἦτορ ἶσόν οἱ φάσθαι, τόν τε στυγέουσι καὶ ἄλλοι.		Matched predicted cluster 568 (exact-match)
023	Hom. Il. 16.454-457	430	Hera	Zeus	πέμπειν μιν θάνατόν τε φέρειν καὶ νήδυμον ὕπνον εἰς ὅ κε δὴ Λυκίης εὐρείης δῆμον ἵκωνται, ἔνθά ἑ ταρχύσουσι κασίγνητοί τε ἔται τε τύμβῳ τε στήλῃ τε· τὸ γὰρ γέρας ἐστὶ θανόντων.		Matched predicted cluster 528 (exact-match)
023	Hom. Il. 16.671-675	438	Zeus	Apollo	πέμπε δέ μιν πομποῖσιν ἅμα κραιπνοῖσι φέρεσθαι ὕπνῳ καὶ θανάτῳ διδυμάοσιν, οἵ ῥά μιν ὦκα θήσουσʼ ἐν Λυκίης εὐρείης πίονι δήμῳ, ἔνθά ἑ ταρχύσουσι κασίγνητοί τε ἔται τε τύμβῳ τε στήλῃ τε· τὸ γὰρ γέρας ἐστὶ θανόντων.	first part of the speech not repeated verbatim	Matched predicted cluster 528 (exact-match)
024	Hom. Il. 17.642	474	Ajax Telamonius	Greeks/Zeus	λυγρῆς ἀγγελίης, ὅτι οἱ φίλος ὤλεθʼ ἑταῖρος.		
024	Hom. Il. 17.655	475	Ajax Telamonius	Menelaus	ὅττι ῥά οἱ πολὺ φίλτατος ὤλεθʼ ἑταῖρος.	same utterance by Ajax, but DICES splits it in two speeches (to Greeks and Zeus + to Menelaus)	
025	Hom. Il. 17.685-693	477	Menelaus	Antilochus	Ἀντίλοχʼ εἰ δʼ ἄγε δεῦρο διοτρεφὲς ὄφρα πύθηαι λυγρῆς ἀγγελίης, ἣ μὴ ὤφελλε γενέσθαι. ἤδη μὲν σὲ καὶ αὐτὸν ὀΐομαι εἰσορόωντα γιγνώσκειν ὅτι πῆμα θεὸς Δαναοῖσι κυλίνδει, νίκη δὲ Τρώων· πέφαται δʼ ὤριστος Ἀχαιῶν Πάτροκλος, μεγάλη δὲ ποθὴ Δαναοῖσι τέτυκται. ἀλλὰ σύ γʼ αἶψʼ Ἀχιλῆϊ θέων ἐπὶ νῆας Ἀχαιῶν εἰπεῖν, αἴ κε τάχιστα νέκυν ἐπὶ νῆα σαώσῃ γυμνόν· ἀτὰρ τά γε τεύχεʼ ἔχει κορυθαίολος Ἕκτωρ.		Matched predicted cluster 45 (exact-match)
025	Hom. Il. 18.18-21	481	Antilochus	Achilles	ὤ μοι Πηλέος υἱὲ δαΐφρονος ἦ μάλα λυγρῆς πεύσεαι ἀγγελίης, ἣ μὴ ὤφελλε γενέσθαι. κεῖται Πάτροκλος, νέκυος δὲ δὴ ἀμφιμάχονται γυμνοῦ· ἀτὰρ τά γε τεύχεʼ ἔχει κορυθαίολος Ἕκτωρ.		Matched predicted cluster 45 (exact-match)
026	Hom. Il. 24.113-116	657	Zeus	Thetis	σκύζεσθαί οἱ εἰπὲ θεούς, ἐμὲ δʼ ἔξοχα πάντων ἀθανάτων κεχολῶσθαι, ὅτι φρεσὶ μαινομένῃσιν Ἕκτορʼ ἔχει παρὰ νηυσὶ κορωνίσιν οὐδʼ ἀπέλυσεν, αἴ κέν πως ἐμέ τε δείσῃ ἀπό θʼ Ἕκτορα λύσῃ. 		Matched predicted cluster 264 (exact-match)
026	Hom. Il. 24.134-137	658	Thetis	Achilles	σκύζεσθαι σοί φησι θεούς, ἑὲ δʼ ἔξοχα πάντων ἀθανάτων κεχολῶσθαι, ὅτι φρεσὶ μαινομένῃσιν Ἕκτορʼ ἔχεις παρὰ νηυσὶ κορωνίσιν οὐδʼ ἀπέλυσας. 		Matched predicted cluster 264 (exact-match)
027	Hom. Il. 24.146-158	660	Zeus	Iris	λύσασθαι φίλον υἱὸν ἰόντʼ ἐπὶ νῆας Ἀχαιῶν, δῶρα δʼ Ἀχιλλῆϊ φερέμεν τά κε θυμὸν ἰήνῃ οἶον, μὴ δέ τις ἄλλος ἅμα Τρώων ἴτω ἀνήρ. κῆρύξ τίς οἱ ἕποιτο γεραίτερος, ὅς κʼ ἰθύνοι ἡμιόνους καὶ ἄμαξαν ἐΰτροχον, ἠδὲ καὶ αὖτις νεκρὸν ἄγοι προτὶ ἄστυ, τὸν ἔκτανε δῖος Ἀχιλλεύς. μὴ δέ τί οἱ θάνατος μελέτω φρεσὶ μὴ δέ τι τάρβος· τοῖον γάρ οἱ πομπὸν ὀπάσσομεν ἀργεϊφόντην, ὃς ἄξει εἷός κεν ἄγων Ἀχιλῆϊ πελάσσῃ. αὐτὰρ ἐπὴν ἀγάγῃσιν ἔσω κλισίην Ἀχιλῆος, οὔτʼ αὐτὸς κτενέει ἀπό τʼ ἄλλους πάντας ἐρύξει· οὔτε γάρ ἐστʼ ἄφρων οὔτʼ ἄσκοπος οὔτʼ ἀλιτήμων, ἀλλὰ μάλʼ ἐνδυκέως ἱκέτεω πεφιδήσεται ἀνδρός.		Matched predicted cluster 85 (exact-match)
027	Hom. Il. 24.175-187	661	Iris	Priam	λύσασθαί σʼ ἐκέλευσεν Ὀλύμπιος Ἕκτορα δῖον, δῶρα δʼ Ἀχιλλῆϊ φερέμεν τά κε θυμὸν ἰήνῃ οἶον, μὴ δέ τις ἄλλος ἅμα Τρώων ἴτω ἀνήρ. κῆρύξ τίς τοι ἕποιτο γεραίτερος, ὅς κʼ ἰθύνοι ἡμιόνους καὶ ἄμαξαν ἐΰτροχον, ἠδὲ καὶ αὖτις νεκρὸν ἄγοι προτὶ ἄστυ, τὸν ἔκτανε δῖος Ἀχιλλεύς. μὴ δέ τί τοι θάνατος μελέτω φρεσὶ μηδέ τι τάρβος· τοῖος γάρ τοι πομπὸς ἅμʼ ἕψεται ἀργεϊφόντης, ὅς σʼ ἄξει εἷός κεν ἄγων Ἀχιλῆϊ πελάσσῃ. αὐτὰρ ἐπὴν ἀγάγῃσιν ἔσω κλισίην Ἀχιλῆος, οὔτʼ αὐτὸς κτενέει ἀπό τʼ ἄλλους πάντας ἐρύξει· οὔτε γάρ ἔστʼ ἄφρων οὔτʼ ἄσκοπος οὔτʼ ἀλιτήμων, ἀλλὰ μάλʼ ἐνδυκέως ἱκέτεω πεφιδήσεται ἀνδρός.		Matched predicted cluster 85 (exact-match)
028	Hom. Il. 24.118-119	657	Zeus	Thetis	λύσασθαι φίλον υἱὸν ἰόντʼ ἐπὶ νῆας Ἀχαιῶν, δῶρα δʼ Ἀχιλλῆϊ φερέμεν, τά κε θυμὸν ἰήνῃ.	in Il. 75-76 there's a similar formulation, with some lemmata in common: ὥς κεν Ἀχιλλεὺς δώρων ἐκ Πριάμοιο λάχῃ ἀπό θ᾽ Ἕκτορα λύσῃ. It will be interesting to see if Passim gets it or not	Matched predicted cluster 86 (partial-match)
028	Hom. Il. 24.146-147	660	Zeus	Iris	λύσασθαι φίλον υἱὸν ἰόντʼ ἐπὶ νῆας Ἀχαιῶν, δῶρα δʼ Ἀχιλλῆϊ φερέμεν τά κε θυμὸν ἰήνῃ		Matched predicted cluster 86 (partial-match)
028	Hom. Il. 24.175-176	661	Iris	Priam	λύσασθαί σʼ ἐκέλευσεν Ὀλύμπιος Ἕκτορα δῖον, δῶρα δʼ Ἀχιλλῆϊ φερέμεν τά κε θυμὸν ἰήνῃ		Matched predicted cluster 86 (partial-match)
028	Hom. Il. 24.195-196	662	Priam	Hecabe	λύσασθαι φίλον υἱὸν ἰόντʼ ἐπὶ νῆας Ἀχαιῶν, δῶρα δʼ Ἀχιλλῆϊ φερέμεν τά κε θυμὸν ἰήνῃ		Matched predicted cluster 86 (partial-match)
029	Hom. Il. 24.292-295	667	Hecabe	Priam	αἴτει δʼ οἰωνὸν ταχὺν ἄγγελον, ὅς τέ οἱ αὐτῷ φίλτατος οἰωνῶν, καί εὑ κράτος ἐστὶ μέγιστον, δεξιόν, ὄφρά μιν αὐτὸς ἐν ὀφθαλμοῖσι νοήσας τῷ πίσυνος ἐπὶ νῆας ἴῃς Δαναῶν ταχυπώλων. 		Matched predicted cluster 447 (exact-match)
029	Hom. Il. 24.310-313	669	Priam	Zeus	πέμψον δʼ οἰωνὸν ταχὺν ἄγγελον, ὅς τε σοὶ αὐτῷ φίλτατος οἰωνῶν, καί εὑ κράτος ἐστὶ μέγιστον, δεξιόν, ὄφρά μιν αὐτὸς ἐν ὀφθαλμοῖσι νοήσας τῷ πίσυνος ἐπὶ νῆας ἴω Δαναῶν ταχυπώλων.		Matched predicted cluster 447 (exact-match)
030	Hom. Il. 1.37-38	3	Chryses	Apollo	κλῦθί μευ ἀργυρότοξʼ, ὃς Χρύσην ἀμφιβέβηκας Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις		Matched predicted cluster 15 (exact-match)
030	Hom. Il. 1.451-452	27	Apollo	Chryses	κλῦθί μευ ἀργυρότοξʼ, ὃς Χρύσην ἀμφιβέβηκας Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις		Matched predicted cluster 15 (exact-match)
031	Hom. Il. 1.411-412	24	Achilles	Thetis	γνῷ δὲ καὶ Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων ἣν ἄτην ὅ τʼ ἄριστον Ἀχαιῶν οὐδὲν ἔτισεν		Matched predicted cluster 19 (exact-match)
031	Hom. Il. 16.273-274	427	Patroclus	Myrmidonians	γνῷ δὲ καὶ Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων ἣν ἄτην, ὅ τʼ ἄριστον Ἀχαιῶν οὐδὲν ἔτισεν.		Matched predicted cluster 19 (exact-match)
032	Hom. Il. 1.453-455	27	Chryses	Apollo	ἦ μὲν δή ποτʼ ἐμεῦ πάρος ἔκλυες εὐξαμένοιο, τίμησας μὲν ἐμέ, μέγα δʼ ἴψαο λαὸν Ἀχαιῶν· ἠδʼ ἔτι καὶ νῦν μοι τόδʼ ἐπικρήηνον ἐέλδωρ·		Matched predicted cluster 159 (exact-match)
032	Hom. Il.16.236-238	427	Achilles	Zeus	ἠμὲν δή ποτʼ ἐμὸν ἔπος ἔκλυες εὐξαμένοιο, τίμησας μὲν ἐμέ, μέγα δʼ ἴψαο λαὸν Ἀχαιῶν, ἠδʼ ἔτι καὶ νῦν μοι τόδʼ ἐπικρήηνον ἐέλδωρ·		Matched predicted cluster 159 (exact-match)
033	Hom. Il. 2.110-118	42	Agamemnon	Greeks	ὦ φίλοι ἥρωες Δαναοὶ θεράποντες Ἄρηος Ζεύς με μέγα Κρονίδης ἄτῃ ἐνέδησε βαρείῃ, σχέτλιος, ὃς πρὶν μέν μοι ὑπέσχετο καὶ κατένευσεν Ἴλιον ἐκπέρσαντʼ εὐτείχεον ἀπονέεσθαι, νῦν δὲ κακὴν ἀπάτην βουλεύσατο, καί με κελεύει δυσκλέα Ἄργος ἱκέσθαι, ἐπεὶ πολὺν ὤλεσα λαόν. οὕτω που Διὶ μέλλει ὑπερμενέϊ φίλον εἶναι, ὃς δὴ πολλάων πολίων κατέλυσε κάρηνα ἠδʼ ἔτι καὶ λύσει· τοῦ γὰρ κράτος ἐστὶ μέγιστον. 		Matched predicted cluster 28 (exact-match)
033	Hom. Il. 9.17-25	232	Agamemnon	Greeks	ὦ φίλοι Ἀργείων ἡγήτορες ἠδὲ μέδοντες Ζεύς με μέγα Κρονίδης ἄτῃ ἐνέδησε βαρείῃ σχέτλιος, ὃς τότε μέν μοι ὑπέσχετο καὶ κατένευσεν Ἴλιον ἐκπέρσαντʼ εὐτείχεον ἀπονέεσθαι, νῦν δὲ κακὴν ἀπάτην βουλεύσατο, καί με κελεύει δυσκλέα Ἄργος ἱκέσθαι, ἐπεὶ πολὺν ὤλεσα λαόν. οὕτω που Διὶ μέλλει ὑπερμενέϊ φίλον εἶναι, ὃς δὴ πολλάων πολίων κατέλυσε κάρηνα ἠδʼ ἔτι καὶ λύσει· τοῦ γὰρ κράτος ἐστὶ μέγιστον.		Matched predicted cluster 28 (exact-match)
034	Hom. Il. 2.139-141	42	Agamemnon	Greeks	ἀλλʼ ἄγεθʼ ὡς ἂν ἐγὼ εἴπω πειθώμεθα πάντες· φεύγωμεν σὺν νηυσὶ φίλην ἐς πατρίδα γαῖαν· οὐ γὰρ ἔτι Τροίην αἱρήσομεν εὐρυάγυιαν.		Matched predicted cluster 28 (exact-match)
034	Hom. Il. 9.26-28	232	Agamemnon	Greeks	ἀλλʼ ἄγεθʼ ὡς ἂν ἐγὼ εἴπω πειθώμεθα πάντες· φεύγωμεν σὺν νηυσὶ φίλην ἐς πατρίδα γαῖαν· οὐ γὰρ ἔτι Τροίην αἱρήσομεν εὐρυάγυιαν.		Matched predicted cluster 28 (exact-match)
035	Hom. Il. 2.371-374	53	Agamemnon	Nestor/Athena/Apollo	αἲ γὰρ Ζεῦ τε πάτερ καὶ Ἀθηναίη καὶ Ἄπολλον τοιοῦτοι δέκα μοι συμφράδμονες εἶεν Ἀχαιῶν· τώ κε τάχʼ ἠμύσειε πόλις Πριάμοιο ἄνακτος χερσὶν ὑφʼ ἡμετέρῃσιν ἁλοῦσά τε περθομένη τε.	big box criterion	Matched predicted cluster 610 (exact-match)
035	Hom. Il. 4.288-291	102	Agamemnon	Ajaxes	αἲ γὰρ Ζεῦ τε πάτερ καὶ Ἀθηναίη καὶ Ἄπολλον τοῖος πᾶσιν θυμὸς ἐνὶ στήθεσσι γένοιτο· τώ κε τάχʼ ἠμύσειε πόλις Πριάμοιο ἄνακτος χερσὶν ὑφʼ ἡμετέρῃσιν ἁλοῦσά τε περθομένη τε.		Matched predicted cluster 610 (exact-match)
036	Hom. Il. 3.285-287	73	Agamemnon	Trojans/Greeks	Τρῶας ἔπειθʼ Ἑλένην καὶ κτήματα πάντʼ ἀποδοῦναι, τιμὴν δʼ Ἀργείοις ἀποτινέμεν ἥν τινʼ ἔοικεν, ἥ τε καὶ ἐσσομένοισι μετʼ ἀνθρώποισι πέληται.	big box criterion	Matched predicted cluster 478 (exact-match)
036	Hom. Il. 3.458-460	84	Agamemnon	Trojans/Greeks	ὑμεῖς δʼ Ἀργείην Ἑλένην καὶ κτήμαθʼ ἅμʼ αὐτῇ ἔκδοτε, καὶ τιμὴν ἀποτινέμεν ἥν τινʼ ἔοικεν, ἥ τε καὶ ἐσσομένοισι μετʼ ἀνθρώποισι πέληται.		Matched predicted cluster 478 (exact-match)
037	Hom. Il. 4.15-16	85	Zeus	Gods	ἤ ῥʼ αὖτις πόλεμόν τε κακὸν καὶ φύλοπιν αἰνὴν ὄρσομεν, ἦ φιλότητα μετʼ ἀμφοτέροισι βάλωμεν.		
037	Hom. Il.4.82-84	90	tis	tis	ἦ ῥʼ αὖτις πόλεμός τε κακὸς καὶ φύλοπις αἰνὴ ἔσσεται, ἢ φιλότητα μετʼ ἀμφοτέροισι τίθησι Ζεύς, ὅς τʼ ἀνθρώπων ταμίης πολέμοιο τέτυκται.	Line 84 has only one word that counts as repetition. I take the whole hexameter. This equivalence (us - Zeus) cannot be tracked by Passim	
038	Hom. Il. 4.60-61	88	Hera	Zeus	ἀμφότερον γενεῇ τε καὶ οὕνεκα σὴ παράκοιτις κέκλημαι, σὺ δὲ πᾶσι μετʼ ἀθανάτοισιν ἀνάσσεις.		Matched predicted cluster 186 (exact-match)
038	Hom. Il. 18.365-366	498	Hera	Zeus	ἀμφότερον γενεῇ τε καὶ οὕνεκα σὴ παράκοιτις κέκλημαι, σὺ δὲ πᾶσι μετʼ ἀθανάτοισιν ἀνάσσεις.		Matched predicted cluster 186 (exact-match)
039	Hom. Il. 4.163-165	92	Agamemnon	Menelaus	εὖ γὰρ ἐγὼ τόδε οἶδα κατὰ φρένα καὶ κατὰ θυμόν· ἔσσεται ἦμαρ ὅτʼ ἄν ποτʼ ὀλώλῃ Ἴλιος ἱρὴ καὶ Πρίαμος καὶ λαὸς ἐϋμμελίω Πριάμοιο		Matched predicted cluster 104 (exact-match)
039	Hom. Il. 6.447-449	171	Hector	Andromache	εὖ γὰρ ἐγὼ τόδε οἶδα κατὰ φρένα καὶ κατὰ θυμόν· ἔσσεται ἦμαρ ὅτʼ ἄν ποτʼ ὀλώλῃ Ἴλιος ἱρὴ καὶ Πρίαμος καὶ λαὸς ἐϋμμελίω Πριάμοιο		Matched predicted cluster 104 (exact-match)
040	Hom. Il. 5.130-132	117	Athena	Diomedes	μή τι σύ γʼ ἀθανάτοισι θεοῖς ἀντικρὺ μάχεσθαι τοῖς ἄλλοις· ἀτὰρ εἴ κε Διὸς θυγάτηρ Ἀφροδίτη ἔλθῃσʼ ἐς πόλεμον, τήν γʼ οὐτάμεν ὀξέϊ χαλκῷ.		Matched predicted cluster 402 (exact-match)
040	Hom. Il. 5.819-821	148	Diomedes	Athena	οὔ μʼ εἴας μακάρεσσι θεοῖς ἀντικρὺ μάχεσθαι τοῖς ἄλλοις· ἀτὰρ εἴ κε Διὸς θυγάτηρ Ἀφροδίτη ἔλθῃσʼ ἐς πόλεμον, τήν γʼ οὐτάμεν ὀξέϊ χαλκῷ.	Here Diomedes repeats to Athena what the goddess ordered him before! Interesting. Hapax?	Matched predicted cluster 402 (exact-match)
041	Hom. Il. 5.175-176	118	Aeneas	Pandarus	ὅς τις ὅδε κρατέει καὶ δὴ κακὰ πολλὰ ἔοργε Τρῶας, ἐπεὶ πολλῶν τε καὶ ἐσθλῶν γούνατʼ ἔλυσεν		Missed by evaluation, but it corresponds to predicted cluster 47 (spurious-match)
041	Hom. Il. 16.424-425	428	Sarpedon 	Lycians	ὅς τις ὅδε κρατέει καὶ δὴ κακὰ πολλὰ ἔοργε Τρῶας, ἐπεὶ πολλῶν τε καὶ ἐσθλῶν γούνατʼ ἔλυσεν.		Missed by evaluation, but it corresponds to predicted cluster 47 (spurious-match)
043	Hom. Il. 5.221-223	120	Aeneas	Pandarus	ἀλλʼ ἄγʼ ἐμῶν ὀχέων ἐπιβήσεο, ὄφρα ἴδηαι οἷοι Τρώϊοι ἵπποι ἐπιστάμενοι πεδίοιο κραιπνὰ μάλʼ ἔνθα καὶ ἔνθα διωκέμεν ἠδὲ φέβεσθαι		Matched predicted cluster 420 (exact-match)
043	Hom. Il. 8.105-107	210	Diomedes	Nestor	ἀλλʼ ἄγʼ ἐμῶν ὀχέων ἐπιβήσεο, ὄφρα ἴδηαι οἷοι Τρώϊοι ἵπποι ἐπιστάμενοι πεδίοιο κραιπνὰ μάλʼ ἔνθα καὶ ἔνθα διωκέμεν ἠδὲ φέβεσθαι		Matched predicted cluster 420 (exact-match)
044	Hom. Il. 5.373-374	129	Dione	Aphrodite	τίς νύ σε τοιάδʼ ἔρεξε φίλον τέκος Οὐρανιώνων μαψιδίως, ὡς εἴ τι κακὸν ῥέζουσαν ἐνωπῇ;		Matched predicted cluster 333 (exact-match)
044	Hom. Il. 21.509-510	574	Zeus	Leto	τίς νύ σε τοιάδʼ ἔρεξε φίλον τέκος Οὐρανιώνων μαψιδίως, ὡς εἴ τι κακὸν ῥέζουσαν ἐνωπῇ;		Matched predicted cluster 333 (exact-match)
045	Hom. Il. 5.458-459	135	Apollo	Ares	Κύπριδα μὲν πρῶτα σχεδὸν οὔτασε χεῖρʼ ἐπὶ καρπῷ, αὐτὰρ ἔπειτʼ αὐτῷ μοι ἐπέσσυτο δαίμονι ἶσος.		Matched predicted cluster 52 (exact-match)
045	Hom. Il. 5.883-884	150	Ares	Zeus	Κύπριδα μὲν πρῶτον σχεδὸν οὔτασε χεῖρʼ ἐπὶ καρπῷ, αὐτὰρ ἔπειτʼ αὐτῷ μοι ἐπέσσυτο δαίμονι ἶσος·		Matched predicted cluster 52 (exact-match)
046	Hom. Il. 5.529-532	138	Agamemnon	Greeks	ὦ φίλοι ἀνέρες ἔστε καὶ ἄλκιμον ἦτορ ἕλεσθε, ἀλλήλους τʼ αἰδεῖσθε κατὰ κρατερὰς ὑσμίνας· αἰδομένων ἀνδρῶν πλέονες σόοι ἠὲ πέφανται· φευγόντων δʼ οὔτʼ ἂρ κλέος ὄρνυται οὔτε τις ἀλκή.		Matched predicted cluster 51 (exact-match)
